timestamp,thermistor,max_temp,min_temp
2026-01-29T13:01:02.396451,30.69,29.0,20.75
2026-01-29T13:01:03.526192,30.62,28.0,20.25
2026-01-29T13:01:04.414679,30.62,28.5,19.5
2026-01-29T13:01:05.383404,30.62,31.75,29.75
2026-01-29T13:01:06.415778,30.69,27.75,16.75
2026-01-29T13:01:07.384073,30.75,31.25,27.5
2026-01-29T13:01:08.401377,30.81,26.0,14.0
2026-01-29T13:01:09.417998,30.81,26.0,13.25
2026-01-29T13:01:10.496307,30.88,26.5,14.25
2026-01-29T13:01:11.476302,30.88,26.25,15.25
2026-01-29T13:01:12.567171,30.88,30.75,17.5
2026-01-29T13:01:13.645569,30.88,26.5,16.5
2026-01-29T13:01:14.856690,30.88,25.5,16.0
2026-01-29T13:01:15.638703,30.88,25.25,16.25
2026-01-29T13:01:16.589820,30.88,25.5,16.75
2026-01-29T13:01:17.986649,30.88,26.25,17.25
2026-01-29T13:01:18.576887,30.88,27.0,17.75
2026-01-29T13:01:19.596665,30.88,27.25,18.25
2026-01-29T13:01:20.716152,30.88,27.75,18.5
2026-01-29T13:01:21.650581,30.88,28.5,19.5
2026-01-29T13:01:22.671345,30.88,28.75,20.0
2026-01-29T13:01:23.677460,30.88,29.0,20.25
2026-01-29T13:01:24.701621,30.88,29.5,21.0
2026-01-29T13:01:25.724021,30.81,29.5,21.0
2026-01-29T13:01:26.785666,30.81,29.5,20.75
2026-01-29T13:01:29.899480,30.81,28.75,20.5
2026-01-29T13:01:30.905810,30.81,29.25,21.0
2026-01-29T13:01:39.907113,30.75,29.5,21.0
2026-01-29T13:01:40.971056,30.81,30.0,22.25
2026-01-29T13:01:43.682840,30.69,30.0,21.75
2026-01-29T13:01:44.687563,30.75,30.0,22.0
2026-01-29T13:01:47.534951,30.69,28.5,20.5
2026-01-29T13:01:48.585178,30.69,28.5,20.5
2026-01-29T13:01:51.527578,30.62,28.5,20.0
2026-01-29T13:01:52.453488,30.62,28.75,21.0
2026-01-29T13:01:56.232447,30.62,29.25,21.0
2026-01-29T13:01:57.265406,30.62,29.75,20.5
2026-01-29T13:02:01.147978,30.5,30.75,20.25
2026-01-29T13:02:02.180244,30.56,29.0,20.5
2026-01-29T13:02:04.946712,30.5,28.25,20.25
2026-01-29T13:02:08.880768,30.44,28.75,20.25
2026-01-29T13:02:09.866073,30.44,28.75,20.75
2026-01-29T13:02:13.649748,30.44,28.25,20.5
2026-01-29T13:02:14.681431,30.44,28.0,20.5
2026-01-29T13:02:18.463339,30.44,28.25,20.0
2026-01-29T13:02:19.495698,30.44,27.25,20.0
2026-01-29T13:02:20.499645,30.44,27.5,19.75
2026-01-29T13:02:23.279058,30.44,28.25,20.0
2026-01-29T13:02:24.280781,30.44,28.5,20.25
2026-01-29T13:02:28.192940,30.37,29.0,20.5
2026-01-29T13:02:29.198155,30.37,29.0,20.25
2026-01-29T13:02:32.497055,30.37,29.0,20.5
2026-01-29T13:02:33.517455,30.37,29.25,20.25
2026-01-29T13:02:36.398456,30.37,29.75,21.0
2026-01-29T13:02:37.412525,30.37,29.25,21.0
2026-01-29T13:02:38.428785,30.37,29.75,21.25
2026-01-29T13:02:41.298315,30.31,29.5,21.25
2026-01-29T13:02:42.328022,30.37,29.75,21.25
2026-01-29T13:02:45.315596,30.31,29.0,20.5
2026-01-29T13:02:46.312691,30.31,28.0,20.0
2026-01-29T13:02:47.332000,30.31,28.75,19.75
2026-01-29T13:02:50.626211,30.31,28.25,20.0
2026-01-29T13:02:54.110948,30.25,29.0,20.5
2026-01-29T13:02:55.111026,30.31,29.0,20.25
2026-01-29T13:02:58.009572,30.31,28.25,19.75
2026-01-29T13:02:59.019112,30.31,28.0,19.0
2026-01-29T13:03:01.887429,30.25,27.0,18.75
2026-01-29T13:03:02.904144,30.25,27.0,18.75
2026-01-29T13:03:05.772891,30.25,27.75,19.0
2026-01-29T13:03:06.803855,30.25,28.0,19.5
2026-01-29T13:03:07.804849,30.25,28.5,19.5
2026-01-29T13:03:11.722360,30.19,27.25,19.75
2026-01-29T13:03:12.726455,30.19,27.5,19.75
2026-01-29T13:03:13.744051,30.19,27.25,20.0
2026-01-29T13:03:16.638198,30.19,29.0,20.5
2026-01-29T13:03:17.658205,30.12,28.5,20.0
2026-01-29T13:03:20.627826,30.12,28.5,20.25
2026-01-29T13:03:21.639575,30.12,28.25,20.0
2026-01-29T13:03:25.755241,30.12,32.25,26.0
2026-01-29T13:03:26.756656,30.12,32.0,24.25
2026-01-29T13:03:29.760684,30.12,28.75,20.25
2026-01-29T13:03:30.760275,30.12,29.75,20.25
2026-01-29T13:03:33.056456,30.12,29.0,20.0
2026-01-29T13:03:34.093507,30.12,28.0,19.0
2026-01-29T13:03:35.099246,30.06,28.25,18.75
